fold,model,weighting_method,train_start,train_end,test_start,test_end,factor_weights,OOS_return,annualized_return,volatility,Sharpe,max_drawdown,turnover,transaction_cost,benchmark_return,annualized_excess_return,information_ratio,tracking_error,beta,jensen_alpha
6,Model_B,rolling_icir_weight,2021-03-16,2024-04-25,2024-04-26,2024-11-04,"{""volatility_20"": 1.0}",0.07630869548324015,0.1584404079728341,0.26931957841065834,0.678954679887307,-0.18698143048128135,11.557571269900038,0.011557571269900039,0.1174071178490097,-0.06939428460819994,-0.19669007846627137,0.35281029500478717,0.0781546941621717,0.16314126085860975
7,Model_B,rolling_icir_weight,2021-09-15,2024-11-04,2024-11-05,2025-05-14,"{""volatility_20"": 1.0}",0.08432314832262744,0.17575668998829475,0.21116452337315084,0.8742262238218156,-0.12434878202888755,10.763100995732573,0.010763100995732576,-0.0003929263123735316,0.16860590247501617,0.59282700010526,0.28440995846187705,-0.04419587933776813,0.18531268297826206
8,Model_B,rolling_icir_weight,2022-03-29,2025-05-14,2025-05-15,2025-11-17,"{""volatility_20"": 1.0}",0.24116029175916553,0.540478869839697,0.11550741628239931,3.8014071522797885,-0.046501988635607394,11.178596491228069,0.011178596491228073,0.16606774683569925,0.12230684641650856,0.6595397307543363,0.18544272727379502,-0.059594798517128456,0.45796938942144105
9,Model_B,rolling_icir_weight,2022-09-30,2025-11-17,2025-11-18,2025-12-24,"{""volatility_20"": 1.0}",0.0008056467405923584,0.007544660833493255,0.1469676216355066,0.12261745441372987,-0.03527827041905496,3.180445708866761,0.003180445708866762,0.007831580778808522,-0.06389175911029239,-0.31777078830508204,0.20106240555048083,6.192001034894345e-05,0.018015723619947813
0,Model_C,equal_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,"{""volatility_20"": 0.3333333333333333, ""volatility_60"": 0.3333333333333333, ""volume_change_20"": 0.3333333333333333}",0.16709312471424598,0.36210636175526245,0.13753759301125448,2.31660997587227,-0.07964658170334371,32.318217065404504,0.0323182170654045,-0.03006385070671025,0.36316966418302243,1.6707591180367776,0.21736805758675992,0.07301356100920442,0.3218736195560847
1,Model_C,equal_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,"{""volatility_20"": 0.3333333333333333, ""volatility_60"": 0.3333333333333333, ""volume_change_20"": 0.3333333333333333}",-0.059099039394474695,-0.11470538233159977,0.2034198666518496,-0.49689224959461165,-0.18537419381259113,33.47833416583417,0.03347833416583418,-0.16369103664913054,0.24016453035284988,0.9170194024736832,0.2618968908454935,0.07711150187580855,-0.07476405001399371
2,Model_C,equal_weight,2019-02-18,2022-03-25,2022-03-28,2022-09-28,"{""volatility_20"": 0.3333333333333333, ""volatility_60"": 0.3333333333333333, ""volume_change_20"": 0.3333333333333333}",-0.04983115620985712,-0.0971791682905031,0.24219072798224467,-0.3002619410567811,-0.1747396144093888,34.73981695799079,0.0347398169579908,-0.08284925153967948,0.08180694333807123,0.26959707613079903,0.3034415080168799,0.04727164379077227,-0.06541588435935801
3,Model_C,equal_weight,2019-08-20,2022-09-28,2022-09-29,2023-04-10,"{""volatility_20"": 0.3333333333333333, ""volatility_60"": 0.3333333333333333, ""volume_change_20"": 0.3333333333333333}",0.09560674954496773,0.20035414964848974,0.15569295669404695,1.2507923257014688,-0.08852383804529129,34.01715990744125,0.03401715990744123,0.07211306157948782,0.04098315701362488,0.18469619727737566,0.22189496924009006,0.07314437383935013,0.18349313991501615
4,Model_C,equal_weight,2020-03-02,2023-04-10,2023-04-11,2023-10-18,"{""volatility_20"": 0.3333333333333333, ""volatility_60"": 0.3333333333333333, ""volume_change_20"": 0.3333333333333333}",-0.05419581647395344,-0.10545444642462842,0.13697020149248482,-0.7455841597600626,-0.09649198842270679,37.375944556226244,0.03737594455622626,-0.12040264957452318,0.14482704797516155,0.7787415180253137,0.1859757629751209,0.08767795792084572,-0.08047075310857962
5,Model_C,equal_weight,2020-09-02,2023-10-18,2023-10-19,2024-04-24,"{""volatility_20"": 0.3333333333333333, ""volatility_60"": 0.3333333333333333, ""volume_change_20"": 0.3333333333333333}",-0.054367136860608234,-0.10577848815079638,0.24149336961711576,-0.3426725438631406,-0.24074300868933673,32.68182566127772,0.03268182566127772,-0.024638700707364403,-0.04380104299170878,-0.1643778209545482,0.2664656505199697,0.2131552747184513,-0.07445030079962235
