test,factor_name,variant,horizon,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations,Q5-Q1,monotonicity,robustness_conclusion
window_preprocess,volatility_60,mad_zscore,10,0.01612772505771847,0.06673897805740642,0.1759702362935787,0.19728209233810998,0.09165030062704409,0.33829212406682346,0.5283119658119658,3.965398299869963,7.327348922370192e-05,1872,0.0012147371157116668,0.5,ROBUST
window_preprocess,volatility_60,mad_zscore,20,0.02060897288819375,0.07717240582641323,0.18159918145892445,0.19949282483236458,0.11348604505056788,0.3868430149869391,0.5241675617615468,4.897024756759021,9.729858407858671e-07,1862,0.0004734097660290046,0.5,ROBUST
window_preprocess,volatility_60,mad_zscore,40,0.02415595672178029,0.0846184411051224,0.1744274857138845,0.18587026669634704,0.13848710037249287,0.4552553918877302,0.5206297502714441,5.943662421265869,2.7872331109790593e-09,1842,-0.002205627368558338,0.5,ROBUST
window_preprocess,volatility_60,percentile_zscore,1,0.00027616033238533666,0.03839189133732795,0.19334284634560825,0.20286292621813196,0.0014283452302739392,0.1892504069277123,0.5066595631326585,0.06188214016806891,0.9506566903174294,1877,4.267084177835491e-06,0.25,ROBUST
window_preprocess,volatility_60,percentile_zscore,5,0.009823361408183314,0.05706261317532772,0.18778433503180403,0.1981665236826517,0.05231193223076666,0.28795283943472244,0.5226425146510388,2.2663808819846545,0.02342807310148598,1877,0.0007072911817559143,0.5,ROBUST
window_preprocess,volatility_60,percentile_zscore,10,0.015056049197125632,0.06680104114291695,0.18392308579859248,0.19748100922132064,0.08186057303112546,0.3382656459287778,0.531517094017094,3.5418299220310487,0.0003973615926748941,1872,0.0012147371157116668,0.5,ROBUST
window_preprocess,volatility_60,percentile_zscore,20,0.021275213044882817,0.07730909693091984,0.18912079987120173,0.1996841554535989,0.11249536306620966,0.387156891618696,0.5467239527389903,4.854275939480954,1.208273951558425e-06,1862,0.0004734097660290046,0.5,ROBUST
window_preprocess,volatility_60,percentile_zscore,40,0.026898843505382745,0.08479884669561,0.18387542318993733,0.1861655192598908,0.14628841113582164,0.45550243156053566,0.5580890336590663,6.278483191546247,3.418918481656874e-10,1842,-0.002205627368558338,0.5,ROBUST
window_preprocess,volatility_60,percentile_rank,1,0.0012207696385041146,0.038390263680873636,0.17796493097489316,0.20287335718427518,0.006859607855416962,0.18923265338386822,0.500799147575919,0.29718810677548,0.7663229013373949,1877,4.267084177835491e-06,0.25,ROBUST
window_preprocess,volatility_60,percentile_rank,5,0.011196722352418398,0.05705807763783985,0.17418795534640663,0.19817634078593022,0.06427954407152628,0.2879156886818992,0.514118273841236,2.7848699823157372,0.005354919040653439,1877,0.0007072911817559143,0.5,ROBUST
window_preprocess,volatility_60,percentile_rank,10,0.015946629567751974,0.06679452581017531,0.1734461670699769,0.19748051405354117,0.09193993639143552,0.3382335018232021,0.5251068376068376,3.9779298590666214,6.951787061670878e-05,1872,0.0012147371157116668,0.5,ROBUST
window_preprocess,volatility_60,percentile_rank,20,0.019989404692731586,0.07730542010013072,0.17946167840935567,0.19969027489735725,0.1113853657778423,0.38712661465294923,0.5091299677765844,4.806378559687268,1.536887651809593e-06,1862,0.0004734097660290046,0.5,ROBUST
window_preprocess,volatility_60,percentile_rank,40,0.02258312793560572,0.0847872974806529,0.17097141329700646,0.18617000209145956,0.13208715714582636,0.4554294275562157,0.5146579804560261,5.668986282100143,1.4364486489171213e-08,1842,-0.002205627368558338,0.5,ROBUST
liquidity_filter,volatility_20,remove_bottom_10pct_ADV20,5,0.01471212062787981,0.06251099424250722,0.18086646148208216,0.18004054814402584,0.08134244739087401,0.34720508733677435,0.548774126238915,3.5614618085876804,0.0003687957595230884,1917,0.001777965736971898,0.5,ROBUST
liquidity_filter,volatility_20,remove_bottom_20pct_ADV20,5,0.01366063862194454,0.06258389022249415,0.1825107298845515,0.17959599664932793,0.07484841373756862,0.34847040797180456,0.5446009389671361,3.2771299058506957,0.00104868109005829,1917,0.0013172272111607159,0.75,ROBUST
