date,factor_name,window,rolling_mean_rank_ic
2018-02-13,momentum_20,120,
2018-02-14,momentum_20,120,
2018-02-22,momentum_20,120,
2018-02-23,momentum_20,120,
2018-02-26,momentum_20,120,
2018-02-27,momentum_20,120,
2018-02-28,momentum_20,120,
2018-03-01,momentum_20,120,
2018-03-02,momentum_20,120,
2018-03-05,momentum_20,120,
2018-03-06,momentum_20,120,
2018-03-07,momentum_20,120,
2018-03-08,momentum_20,120,
2018-03-09,momentum_20,120,
2018-03-12,momentum_20,120,
2018-03-13,momentum_20,120,
2018-03-14,momentum_20,120,
2018-03-15,momentum_20,120,
2018-03-16,momentum_20,120,
2018-03-19,momentum_20,120,
2018-03-20,momentum_20,120,
2018-03-21,momentum_20,120,
2018-03-22,momentum_20,120,
2018-03-23,momentum_20,120,
2018-03-26,momentum_20,120,
2018-03-27,momentum_20,120,
2018-03-28,momentum_20,120,
2018-03-29,momentum_20,120,
2018-03-30,momentum_20,120,
2018-04-02,momentum_20,120,
2018-04-03,momentum_20,120,
2018-04-04,momentum_20,120,
2018-04-09,momentum_20,120,
2018-04-10,momentum_20,120,
2018-04-11,momentum_20,120,
2018-04-12,momentum_20,120,
2018-04-13,momentum_20,120,
2018-04-16,momentum_20,120,
2018-04-17,momentum_20,120,
2018-04-18,momentum_20,120,
2018-04-19,momentum_20,120,
2018-04-20,momentum_20,120,
2018-04-23,momentum_20,120,
2018-04-24,momentum_20,120,
2018-04-25,momentum_20,120,
2018-04-26,momentum_20,120,
2018-04-27,momentum_20,120,
2018-05-02,momentum_20,120,
2018-05-03,momentum_20,120,
2018-05-04,momentum_20,120,
2018-05-07,momentum_20,120,
2018-05-08,momentum_20,120,
2018-05-09,momentum_20,120,
2018-05-10,momentum_20,120,
2018-05-11,momentum_20,120,
2018-05-14,momentum_20,120,
2018-05-15,momentum_20,120,
2018-05-16,momentum_20,120,
2018-05-17,momentum_20,120,
2018-05-18,momentum_20,120,
2018-05-21,momentum_20,120,
2018-05-22,momentum_20,120,
2018-05-23,momentum_20,120,
2018-05-24,momentum_20,120,
2018-05-25,momentum_20,120,
